iter	RMSE
0	10781.03986
1	10642.57079
2	10471.76275
3	10362.64233
4	10225.6853
5	10095.32505
6	9967.174165
7	9845.92088
8	9750.531006
9	9653.073684
10	9545.965319
11	9437.099195
12	9343.863949
13	9246.118669
14	9142.544067
15	9059.872686
16	8981.59627
17	8886.91975
18	8799.481479
19	8705.983942
20	8621.841347
21	8547.49539
22	8467.575967
23	8385.624913
24	8306.286628
25	8230.662926
26	8161.376901
27	8085.371097
28	8040.222573
29	7977.572055
30	7920.74973
31	7868.177423
32	7807.866318
33	7758.513676
34	7703.732183
35	7642.58968
36	7584.632985
37	7532.942887
38	7488.488424
39	7431.645856
40	7381.298495
41	7341.436719
42	7294.298185
43	7250.361914
44	7215.107787
45	7175.349221
46	7133.211685
47	7094.774199
48	7056.666513
49	7015.461586
50	6971.047192
51	6940.415779
52	6907.897871
53	6870.619768
54	6841.670874
55	6812.465232
56	6783.29785
57	6754.802761
58	6726.251802
59	6692.963505
60	6660.856785
61	6627.611787
62	6605.451001
63	6578.684305
64	6549.313931
65	6526.779225
66	6498.687226
67	6478.028464
68	6451.71259
69	6433.603148
70	6398.780509
71	6375.494926
72	6356.096556
73	6332.783257
74	6303.343203
75	6281.316103
76	6253.256089
77	6229.448624
78	6204.244928
79	6175.9062
80	6153.604016
81	6131.809924
82	6113.431214
83	6094.502734
84	6072.037693
85	6048.209706
86	6040.491529
87	6017.63566
88	5998.706423
89	5981.131987
90	5963.987229
91	5950.01468
92	5926.672932
93	5904.302307
94	5884.254617
95	5861.450039
96	5848.050793
97	5834.528879
98	5812.705996
99	5788.982342
100	5783.599902
101	5772.228841
102	5753.405596
103	5738.777945
104	5723.00759
105	5707.096776
106	5697.517024
107	5685.49315
108	5671.742834
109	5655.400867
110	5630.120585
111	5609.154024
112	5601.403355
113	5589.989497
114	5581.253975
115	5565.309371
116	5546.326526
117	5536.834371
118	5523.429807
119	5509.708925
120	5494.030024
121	5481.890658
122	5470.149892
123	5453.12578
124	5438.251459
125	5426.982794
126	5418.64594
127	5404.558783
128	5393.94301
129	5384.048321
130	5369.702042
131	5352.138918
132	5341.567672
133	5336.684519
134	5330.854322
135	5324.519404
136	5314.745568
137	5307.367884
138	5291.021619
139	5278.844323
140	5272.576521
141	5266.804622
142	5248.901896
143	5238.896003
