iter	Passed	Remaining
0	134	134400
1	135	67572
2	136	45287
3	137	34134
4	137	27441
5	138	22981
6	139	19830
7	140	17445
8	141	15592
9	142	14127
10	143	12936
11	144	11935
12	145	11076
13	146	10351
14	147	9711
15	148	9138
16	149	8655
17	150	8224
18	151	7817
19	152	7463
20	153	7145
21	154	6852
22	155	6596
23	156	6359
24	157	6142
25	158	5949
26	160	5766
27	161	5590
28	162	5426
29	162	5268
30	163	5119
31	164	4979
32	165	4848
33	166	4724
34	167	4608
35	167	4497
36	168	4392
37	169	4294
38	170	4203
39	171	4120
40	172	4039
41	173	3962
42	174	3889
43	175	3818
44	176	3749
45	177	3685
46	178	3627
47	179	3568
48	180	3510
49	181	3453
50	182	3398
51	183	3346
52	184	3296
53	185	3249
54	186	3210
55	188	3173
56	189	3141
57	190	3100
58	191	3059
59	192	3020
60	193	2985
61	195	2951
62	196	2915
63	196	2880
64	197	2846
65	198	2812
66	199	2781
67	200	2750
68	202	2726
69	203	2708
70	204	2681
71	205	2653
72	206	2626
73	207	2602
74	209	2580
75	210	2562
76	211	2537
77	212	2513
78	213	2489
79	214	2467
80	215	2446
81	217	2431
82	218	2414
83	219	2395
84	220	2376
85	221	2357
86	222	2339
87	224	2323
88	225	2307
89	226	2288
90	227	2269
91	228	2251
92	229	2234
93	230	2217
94	231	2203
95	232	2192
96	233	2177
97	234	2162
98	235	2146
99	236	2131
100	237	2116
101	238	2101
102	239	2086
103	240	2072
104	241	2057
105	242	2044
106	243	2030
107	244	2016
108	245	2004
109	246	1994
110	247	1983
111	248	1971
112	249	1960
113	250	1948
114	251	1937
115	252	1925
116	253	1914
117	254	1902
118	255	1890
119	256	1879
120	257	1867
121	257	1856
122	258	1845
123	259	1836
124	260	1826
125	262	1818
126	263	1810
127	264	1800
128	265	1791
129	266	1782
130	267	1774
131	268	1764
132	269	1754
133	269	1742
134	270	1733
135	271	1724
136	272	1715
137	273	1706
138	274	1698
139	275	1690
140	276	1682
141	277	1675
142	278	1668
143	279	1661
144	280	1653
145	281	1646
146	282	1638
147	283	1631
148	284	1624
149	285	1616
150	286	1609
151	287	1601
152	288	1594
153	289	1587
154	289	1580
155	291	1574
156	291	1567
157	293	1561
158	294	1555
159	294	1548
160	295	1541
161	296	1534
162	297	1527
163	298	1521
164	299	1514
165	300	1508
166	301	1501
167	302	1496
168	302	1489
169	303	1483
170	304	1477
171	305	1472
172	306	1466
173	307	1461
174	308	1455
175	309	1450
176	310	1444
177	311	1438
178	312	1433
179	313	1427
180	314	1422
181	315	1417
182	316	1414
183	317	1409
184	318	1404
185	320	1400
186	321	1396
187	322	1391
188	323	1387
189	324	1382
190	325	1377
191	326	1372
192	327	1367
193	328	1362
194	328	1358
195	330	1354
196	331	1350
197	332	1345
198	333	1340
199	333	1335
200	334	1331
201	336	1327
202	337	1324
203	338	1320
204	339	1315
205	340	1311
206	341	1306
207	342	1302
208	343	1298
209	344	1294
210	344	1289
211	345	1285
212	346	1281
213	347	1276
214	348	1272
215	349	1268
216	350	1263
217	351	1260
218	352	1256
219	353	1253
220	354	1249
221	355	1245
222	356	1240
223	357	1237
224	358	1234
225	359	1231
226	360	1227
227	361	1223
228	362	1219
229	363	1215
230	364	1212
231	365	1208
232	366	1205
233	367	1202
234	368	1199
235	369	1195
236	370	1192
237	371	1188
238	372	1186
239	373	1183
240	374	1180
241	375	1176
242	376	1173
243	377	1170
244	378	1166
245	379	1163
246	380	1160
247	381	1157
248	382	1154
249	383	1151
250	385	1149
251	386	1147
252	387	1144
253	388	1141
254	389	1139
255	391	1136
256	392	1133
257	393	1131
258	394	1128
259	395	1124
260	396	1122
261	397	1119
